,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key,nDay,latestDay,nBasket,COUPON_DISC,dayWCoupRed,SALES_VALUE,RETAIL_DISC,COUPON_MATCH,distProdPDay,avgSalesPDay,avgCoupDiscPDay,avgRetlDiscPDay,coupRedPBask,frequency,recency,variety,monetary,redeemedCoup
131,25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,385,37,701,37,-6.6,7,2929.72,-543.47,-0.95,876,79.18,-0.18,-14.69,0.19,0.05,29,23.68,2379.65,1
132,35-44,B,25-34K,Probable Owner,Single Female,1,None/Unknown,386,199,710,199,-36.84,44,4676.43,-1214.72,-12.15,2625,23.5,-0.19,-6.1,0.22,0.27,20,13.19,3424.87,1
133,25-34,B,50-74K,Homeowner,Single Female,1,None/Unknown,387,114,704,114,-26.9,29,5697.25,-749.52,-5.6,1499,49.98,-0.24,-6.57,0.25,0.16,26,13.15,4920.83,1
134,35-44,U,150-174K,Probable Owner,Single Female,1,None/Unknown,389,230,710,230,-103.96,109,14880.92,-3266.66,-18.5,4584,64.7,-0.45,-14.2,0.47,0.32,20,19.93,11510.3,1
135,45-54,B,25-34K,Renter,Single Female,1,None/Unknown,390,105,709,105,-2.5,1,1806.02,-261.53000000000003,0.0,585,17.2,-0.02,-2.49,0.01,0.14,21,5.57,1541.99,1
136,65+,B,25-34K,Unknown,Single Female,1,None/Unknown,391,40,613,40,-1.8,3,1412.64,-195.38,-0.7,422,35.32,-0.04,-4.88,0.08,0.05,117,10.55,1215.46,1
137,35-44,A,250K+,Homeowner,2 Adults Kids,3,1,392,102,709,102,-1.75,8,11443.97,-866.77,-0.35,3058,112.2,-0.02,-8.5,0.08,0.14,21,29.98,10575.45,1
138,35-44,U,25-34K,Unknown,Single Male,1,None/Unknown,395,63,710,63,0.0,0,872.91,-234.08,0.0,346,13.86,0.0,-3.72,0.0,0.09,20,5.49,638.83,0
139,35-44,A,150-174K,Homeowner,2 Adults Kids,3,1,400,233,711,233,-111.72,29,18494.14,-1797.82,-0.65,4674,79.37,-0.48,-7.72,0.12,0.32,19,20.06,16584.6,1
140,25-34,A,25-34K,Unknown,Unknown,2,None/Unknown,404,223,709,223,-0.55,1,6107.18,-635.5600000000001,-0.45,1745,27.39,-0.0,-2.85,0.0,0.31,21,7.83,5471.07,1
141,19-24,B,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,409,121,709,121,-100.87,126,4499.85,-1341.97,-34.69,1768,37.19,-0.83,-11.09,1.04,0.17,21,14.61,3057.01,1
142,55-64,A,35-49K,Homeowner,2 Adults Kids,5+,3+,410,124,711,124,-4.09,3,1148.42,-449.14,0.0,506,9.26,-0.03,-3.62,0.02,0.17,19,4.08,695.19,1
143,35-44,U,Under 15K,Unknown,2 Adults No Kids,2,None/Unknown,411,119,705,119,-22.09,8,6697.21,-1066.49,0.0,1312,56.28,-0.19,-8.96,0.07,0.16,25,11.03,5608.63,1
144,65+,A,15-24K,Homeowner,Single Female,2,None/Unknown,412,96,711,96,-19.43,16,2426.3,-690.7,-2.05,1322,25.27,-0.2,-7.19,0.17,0.13,19,13.77,1716.17,1
145,45-54,U,100-124K,Unknown,Unknown,1,None/Unknown,413,222,702,222,-4.55,4,5963.78,-556.01,-0.45,1509,26.86,-0.02,-2.5,0.02,0.3,28,6.8,5403.22,1
146,45-54,A,35-49K,Unknown,Single Female,2,None/Unknown,417,76,703,76,-5.6,7,3012.96,-608.36,-0.5,1215,39.64,-0.07,-8.0,0.09,0.1,27,15.99,2399.0,1
147,35-44,U,35-49K,Unknown,2 Adults Kids,3,1,418,205,711,205,-8.0,8,6960.96,-938.97,-1.0,2098,33.96,-0.04,-4.58,0.04,0.28,19,10.23,6013.99,1
148,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,426,193,710,193,-52.0,82,7860.85,-1211.48,-24.75,2324,40.73,-0.27,-6.28,0.42,0.26,20,12.04,6597.37,1
149,19-24,U,50-74K,Probable Owner,2 Adults No Kids,2,None/Unknown,428,93,693,93,-2.25,3,3361.43,-703.79,-0.75,1566,36.14,-0.02,-7.57,0.03,0.13,37,16.84,2655.39,1
150,19-24,U,25-34K,Unknown,Single Female,1,None/Unknown,432,220,711,220,-7.5,4,3486.55,-475.92,0.0,1169,15.85,-0.03,-2.16,0.02,0.3,19,5.31,3003.13,1
151,35-44,A,15-24K,Homeowner,2 Adults Kids,3,1,434,106,708,106,0.0,0,3778.75,-691.1899999999999,0.0,1643,35.65,0.0,-6.52,0.0,0.15,22,15.5,3087.56,0
152,25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,437,77,708,77,-153.65,158,5915.7300000000005,-952.95,-43.75,1751,76.83,-2.0,-12.38,2.05,0.11,22,22.74,4809.13,1
153,35-44,A,50-74K,Probable Owner,2 Adults No Kids,2,None/Unknown,438,62,704,62,-88.2,86,4456.52,-890.02,-18.3,1491,71.88,-1.42,-14.36,1.39,0.08,26,24.05,3478.3,1
154,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,441,76,709,76,-1.85,2,2369.9,-287.62,-0.35,819,31.18,-0.02,-3.78,0.03,0.1,21,10.78,2080.43,1
155,25-34,U,15-24K,Unknown,1 Adult Kids,2,1,442,164,711,164,-15.54,14,3094.71,-563.43,-1.95,1056,18.87,-0.09,-3.44,0.09,0.22,19,6.44,2515.74,1
156,45-54,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,443,93,711,93,-28.8,15,2644.21,-715.35,-6.35,964,28.43,-0.31,-7.69,0.16,0.13,19,10.37,1900.06,1
157,25-34,B,Under 15K,Renter,2 Adults No Kids,2,None/Unknown,451,141,711,141,-1.5,1,2376.28,-332.78000000000003,0.0,678,16.85,-0.01,-2.36,0.01,0.19,19,4.81,2042.0,1
158,55-64,U,35-49K,Unknown,Single Male,1,None/Unknown,454,311,710,311,-37.97,37,8215.93,-2558.83,-11.85,3106,26.42,-0.12,-8.23,0.12,0.43,20,9.99,5619.13,1
159,19-24,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,456,92,701,92,-25.15,18,6314.03,-893.61,-3.8,1592,68.63,-0.27,-9.71,0.2,0.13,29,17.3,5395.27,1
160,55-64,A,35-49K,Homeowner,Single Female,2,None/Unknown,458,109,709,109,-68.79,42,1685.64,-709.4,-8.15,736,15.46,-0.63,-6.51,0.39,0.15,21,6.75,907.45,1
161,65+,B,25-34K,Homeowner,Single Female,1,None/Unknown,460,95,707,95,-6.15,8,760.45,-142.3,-1.55,342,8.0,-0.06,-1.5,0.08,0.13,23,3.6,612.0,1
162,65+,U,100-124K,Unknown,Single Male,1,None/Unknown,462,92,706,92,-2.5,4,1510.63,-267.72,-1.3,582,16.42,-0.03,-2.91,0.04,0.13,24,6.33,1240.41,1
163,65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,464,141,709,141,-165.2,196,3590.4900000000002,-1202.2,-60.17,1465,25.46,-1.17,-8.53,1.39,0.19,21,10.39,2223.09,1
164,45-54,U,75-99K,Probable Owner,Single Female,1,None/Unknown,469,138,698,138,-81.78,113,7748.49,-1190.12,-30.18,2644,56.15,-0.59,-8.62,0.82,0.19,32,19.16,6476.59,1
165,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,473,56,709,56,-5.0,2,3208.71,-678.21,0.0,915,57.3,-0.09,-12.11,0.04,0.08,21,16.34,2525.5,1
166,45-54,U,35-49K,Unknown,Single Female,1,None/Unknown,483,89,710,89,-13.95,6,2718.9900000000002,-810.78,0.0,846,30.55,-0.16,-9.11,0.07,0.12,20,9.51,1894.26,1
167,25-34,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown,484,111,706,111,-17.44,11,2964.51,-501.67,0.0,1176,26.71,-0.16,-4.52,0.1,0.15,24,10.59,2445.4,1
168,35-44,U,25-34K,Homeowner,Single Male,1,None/Unknown,485,144,710,144,-62.79,37,5431.01,-1441.75,-6.05,1504,37.72,-0.44,-10.01,0.26,0.2,20,10.44,3926.47,1
169,55-64,U,150-174K,Unknown,Single Female,1,None/Unknown,489,166,711,166,-0.5,1,5866.56,-779.0,-0.5,1718,35.34,-0.0,-4.69,0.01,0.23,19,10.35,5087.06,1
170,35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,490,71,692,71,-206.5,218,3886.87,-1287.3,-82.55,1283,54.74,-2.91,-18.13,3.07,0.1,38,18.07,2393.07,1
171,45-54,A,75-99K,Unknown,Single Female,2,None/Unknown,491,100,709,100,-3.59,3,4835.71,-535.33,0.0,1138,48.36,-0.04,-5.35,0.03,0.14,21,11.38,4296.79,1
172,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,492,84,633,84,-87.86,79,7148.28,-1433.21,-13.8,2073,85.1,-1.05,-17.06,0.94,0.12,97,24.68,5627.21,1
173,55-64,U,50-74K,Unknown,Unknown,1,None/Unknown,493,157,708,157,-17.75,32,4925.56,-752.91,-11.95,1736,31.37,-0.11,-4.8,0.2,0.22,22,11.06,4154.9,1
174,35-44,A,250K+,Homeowner,2 Adults Kids,3,1,510,257,707,257,-35.09,25,7903.360000000001,-1204.1,-2.45,3084,30.75,-0.14,-4.69,0.1,0.35,23,12.0,6664.17,1
175,45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,513,156,705,156,-116.2,36,12130.01,-2615.77,-1.2,2166,77.76,-0.74,-16.77,0.23,0.21,25,13.88,9398.04,1
176,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,518,137,706,137,-131.34,121,4926.37,-1111.04,-24.75,1790,35.96,-0.96,-8.11,0.88,0.19,24,13.07,3683.99,1
177,65+,B,35-49K,Homeowner,Single Male,1,None/Unknown,523,229,710,229,-42.27,33,5731.87,-598.0600000000001,-5.75,1899,25.03,-0.18,-2.61,0.14,0.31,20,8.29,5091.54,1
178,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,526,158,707,158,-7.35,9,4574.92,-605.23,-1.65,1407,28.96,-0.05,-3.83,0.06,0.22,23,8.91,3962.34,1
179,45-54,U,50-74K,Homeowner,Single Female,1,None/Unknown,527,129,708,129,-8.5,4,3581.52,-725.35,0.0,1217,27.76,-0.07,-5.62,0.03,0.18,22,9.43,2847.67,1
180,45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,534,339,709,339,-0.7,1,1315.44,-178.10999999999999,-0.3,978,3.88,-0.0,-0.53,0.0,0.46,21,2.88,1136.63,1
181,25-34,B,50-74K,Homeowner,Single Female,1,None/Unknown,540,84,707,84,-14.6,11,3280.73,-434.42,-1.6,965,39.06,-0.17,-5.17,0.13,0.12,23,11.49,2831.71,1
182,25-34,U,35-49K,Unknown,Single Female,1,None/Unknown,542,114,692,114,-3.1,6,2313.52,-541.54,-2.1,896,20.29,-0.03,-4.75,0.05,0.16,38,7.86,1768.88,1
183,35-44,A,35-49K,Probable Owner,1 Adult Kids,3,1,543,96,711,96,-1.69,3,3697.55,-475.36,0.0,1311,38.52,-0.02,-4.95,0.03,0.13,19,13.66,3220.5,1
184,45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,546,101,633,101,-19.38,10,3339.0,-828.22,-0.25,858,33.06,-0.19,-8.2,0.1,0.14,97,8.5,2491.4,1
185,35-44,B,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,548,87,684,87,-8.2,7,4255.83,-882.22,-1.2,1477,48.92,-0.09,-10.14,0.08,0.12,46,16.98,3365.41,1
186,45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,553,235,711,235,-11.68,9,7259.09,-1125.02,-1.2,2703,30.89,-0.05,-4.79,0.04,0.32,19,11.5,6122.39,1
187,19-24,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,560,258,711,258,-13.64,14,7290.9,-984.36,-3.1500000000000004,2332,28.26,-0.05,-3.82,0.05,0.35,19,9.04,6292.9,1
188,19-24,U,25-34K,Unknown,Single Male,1,None/Unknown,567,218,711,218,-0.4,1,3134.9,-610.53,-0.4,1256,14.38,-0.0,-2.8,0.0,0.3,19,5.76,2523.97,1
189,35-44,A,250K+,Homeowner,2 Adults Kids,3,1,569,98,710,98,-4.59,5,6749.1900000000005,-490.72,-1.9,1632,68.87,-0.05,-5.01,0.05,0.13,20,16.65,6253.88,1
190,35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,574,112,711,112,-509.83,451,6753.54,-1650.52,-102.3,2512,60.3,-4.55,-14.74,4.03,0.15,19,22.43,4593.19,1
191,35-44,U,50-74K,Unknown,Single Female,1,None/Unknown,575,286,711,286,-6.15,10,11771.130000000001,-1698.71,-1.25,4133,41.16,-0.02,-5.94,0.03,0.39,19,14.45,10066.27,1
192,55-64,A,35-49K,Homeowner,Single Male,2,None/Unknown,576,138,679,138,-2.5,3,3750.12,-502.9,-0.5,1165,27.17,-0.02,-3.64,0.02,0.19,51,8.44,3244.72,1
193,25-34,U,50-74K,Unknown,Single Male,1,None/Unknown,578,107,704,107,-6.35,3,2996.69,-443.93,-0.35,935,28.01,-0.06,-4.15,0.03,0.15,26,8.74,2546.41,1
194,45-54,A,125-149K,Homeowner,Unknown,3,1,582,132,709,132,-5.0,2,5137.74,-702.3100000000001,0.0,1165,38.92,-0.04,-5.32,0.02,0.18,21,8.83,4430.43,1
195,35-44,B,15-24K,Unknown,Single Female,1,None/Unknown,583,134,690,134,0.0,0,3063.34,-499.08,0.0,850,22.86,0.0,-3.72,0.0,0.18,40,6.34,2564.26,0
196,19-24,A,35-49K,Renter,2 Adults Kids,3,1,586,175,711,175,-13.55,7,5822.64,-865.19,-0.95,1964,33.27,-0.08,-4.94,0.04,0.24,19,11.22,4943.9,1
197,35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,588,211,710,211,-74.48,67,9540.54,-1238.6,-13.6,3197,45.22,-0.35,-5.87,0.32,0.29,20,15.15,8227.46,1
198,35-44,U,35-49K,Unknown,Single Male,1,None/Unknown,593,54,691,54,0.0,0,646.4,-116.98,0.0,315,11.97,0.0,-2.17,0.0,0.07,39,5.83,529.42,0
199,25-34,U,35-49K,Unknown,2 Adults Kids,3,1,595,128,709,128,-16.28,10,2373.7400000000002,-560.52,-0.5,915,18.54,-0.13,-4.38,0.08,0.18,21,7.15,1796.94,1
200,45-54,A,15-24K,Homeowner,1 Adult Kids,3,1,596,104,711,104,0.0,0,2996.37,-345.12,0.0,805,28.81,0.0,-3.32,0.0,0.14,19,7.74,2651.25,0
201,19-24,U,Under 15K,Unknown,1 Adult Kids,2,1,597,94,708,94,-3.74,3,3826.25,-663.75,0.0,1597,40.7,-0.04,-7.06,0.03,0.13,22,16.99,3158.76,1
202,35-44,B,25-34K,Unknown,Single Female,1,None/Unknown,598,165,710,165,-21.95,24,3354.9,-528.01,-5.75,1085,20.33,-0.13,-3.2,0.15,0.23,20,6.58,2804.94,1
203,35-44,A,100-124K,Homeowner,2 Adults Kids,4,2,601,72,710,72,-9.82,5,5241.27,-768.53,0.0,1510,72.8,-0.14,-10.67,0.07,0.1,20,20.97,4462.92,1
204,25-34,A,75-99K,Homeowner,2 Adults Kids,4,2,605,111,708,111,-115.8,87,5856.38,-837.13,-13.6,1976,52.76,-1.04,-7.54,0.78,0.15,22,17.8,4903.45,1
205,45-54,U,35-49K,Probable Renter,Unknown,1,None/Unknown,606,88,708,88,0.0,0,3323.12,-465.01,0.0,1163,37.76,0.0,-5.28,0.0,0.12,22,13.22,2858.11,0
206,45-54,U,125-149K,Unknown,Unknown,1,None/Unknown,607,159,706,159,-16.28,16,3203.0099999999998,-1109.23,-1.8,1377,20.14,-0.1,-6.98,0.1,0.22,24,8.66,2077.5,1
207,25-34,B,25-34K,Renter,1 Adult Kids,5+,3+,608,180,711,180,-9.85,7,5148.9800000000005,-653.42,-0.6,1597,28.61,-0.05,-3.63,0.04,0.25,19,8.87,4485.71,1
208,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,609,141,711,141,-21.44,7,1665.89,-358.37,0.0,762,11.81,-0.15,-2.54,0.05,0.19,19,5.4,1286.08,1
209,35-44,A,15-24K,Unknown,2 Adults Kids,4,2,614,118,708,118,-10.85,13,2757.2400000000002,-617.73,-2.15,1395,23.37,-0.09,-5.24,0.11,0.16,22,11.82,2128.66,1
210,45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,621,138,710,138,-1.6500000000000001,4,3179.15,-432.99,-1.35,1018,23.04,-0.01,-3.14,0.03,0.19,20,7.38,2744.51,1
211,35-44,U,15-24K,Unknown,Single Female,1,None/Unknown,622,136,710,136,-6.7,6,2384.37,-365.77,-0.8500000000000001,734,17.53,-0.05,-2.69,0.04,0.19,20,5.4,2011.9,1
212,45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,623,99,711,99,-6.0,6,3899.16,-945.93,0.0,976,39.39,-0.06,-9.55,0.06,0.14,19,9.86,2947.23,1
213,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,624,136,705,136,-5.85,4,6003.47,-1567.01,-0.75,1961,44.14,-0.04,-11.52,0.03,0.19,25,14.42,4430.61,1
214,35-44,A,35-49K,Homeowner,2 Adults Kids,3,1,630,179,711,179,-85.38,95,7746.27,-2688.38,-31.52,1829,43.28,-0.48,-15.02,0.53,0.25,19,10.22,4972.51,1
215,65+,A,100-124K,Homeowner,2 Adults Kids,3,1,631,381,711,381,-37.36,16,9277.72,-1482.19,-0.35,3001,24.35,-0.1,-3.89,0.04,0.52,19,7.88,7758.17,1
216,65+,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,644,188,710,188,-21.580000000000002,21,3772.03,-578.94,-4.1,1712,20.06,-0.11,-3.08,0.11,0.26,20,9.11,3171.51,1
217,35-44,A,50-74K,Renter,2 Adults Kids,4,2,647,109,711,109,-68.08,59,6326.74,-1255.21,-14.950000000000001,1737,58.04,-0.62,-11.52,0.54,0.15,19,15.94,5003.45,1
218,55-64,A,50-74K,Homeowner,Unknown,2,None/Unknown,660,138,709,138,-17.43,18,7954.280000000001,-1362.3799999999999,-4.2,2188,57.64,-0.13,-9.87,0.13,0.19,21,15.86,6574.47,1
219,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,661,340,710,340,-2.49,2,8271.31,-785.88,-0.5,1739,24.33,-0.01,-2.31,0.01,0.47,20,5.11,7482.94,1
220,55-64,A,35-49K,Unknown,2 Adults Kids,3,1,670,177,708,177,-72.7,72,5685.67,-872.4300000000001,-11.9,1797,32.12,-0.41,-4.93,0.41,0.24,22,10.15,4740.54,1
221,35-44,U,35-49K,Homeowner,Single Female,1,None/Unknown,671,113,694,113,-10.6,12,5089.66,-706.96,-3.4,947,45.04,-0.09,-6.26,0.11,0.15,36,8.38,4372.1,1
222,35-44,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown,672,111,710,111,-17.0,8,2731.15,-797.95,0.0,1149,24.6,-0.15,-7.19,0.07,0.15,20,10.35,1916.2,1
223,35-44,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,675,158,711,158,-17.3,29,4832.38,-614.66,-9.799999999999999,1382,30.58,-0.11,-3.89,0.18,0.22,19,8.75,4200.42,1
224,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,680,83,700,83,-19.68,10,3513.02,-923.14,0.0,1475,42.33,-0.24,-11.12,0.12,0.11,30,17.77,2570.2,1
225,65+,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,682,159,569,159,-49.34,38,4438.29,-983.14,-5.9,1295,27.91,-0.31,-6.18,0.24,0.22,161,8.14,3405.81,1
226,35-44,A,Under 15K,Unknown,Single Female,2,None/Unknown,685,185,708,185,-8.5,7,6019.77,-956.59,-0.5,2007,32.54,-0.05,-5.17,0.04,0.25,22,10.85,5054.68,1
227,35-44,A,125-149K,Homeowner,2 Adults Kids,3,1,688,28,692,28,-5.0,3,3207.61,-451.91999999999996,0.0,924,114.56,-0.18,-16.14,0.11,0.04,38,33.0,2750.69,1
228,65+,B,15-24K,Homeowner,Single Female,1,None/Unknown,690,205,710,205,-6.55,6,4963.14,-669.08,-0.95,1404,24.21,-0.03,-3.26,0.03,0.28,20,6.85,4287.51,1
229,65+,U,35-49K,Homeowner,Single Female,1,None/Unknown,692,110,710,110,-10.85,10,3891.14,-363.18,-1.35,1353,35.37,-0.1,-3.3,0.09,0.15,20,12.3,3517.11,1
230,45-54,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown,693,184,696,184,-18.79,11,6378.8,-1102.55,-0.9,2173,34.67,-0.1,-5.99,0.06,0.25,34,11.81,5257.46,1
231,35-44,B,35-49K,Unknown,1 Adult Kids,3,2,695,191,710,191,-6.2,7,8523.93,-1107.83,-0.8,2499,44.63,-0.03,-5.8,0.04,0.26,20,13.08,7409.9,1
232,35-44,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,696,253,708,253,-73.02,69,14715.53,-2363.14,-15.75,3873,58.16,-0.29,-9.34,0.27,0.35,22,15.31,12279.37,1
233,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,699,124,706,124,-19.990000000000002,20,10353.0,-1217.45,-2.0,2398,83.49,-0.16,-9.82,0.16,0.17,24,19.34,9115.56,1
234,45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,706,121,711,121,-4.25,7,4024.6,-755.54,-1.9,1269,33.26,-0.04,-6.24,0.06,0.17,19,10.49,3264.81,1
235,25-34,A,100-124K,Homeowner,2 Adults Kids,5+,3+,707,347,711,347,-14.6,10,19194.420000000002,-2179.34,-1.15,4300,55.32,-0.04,-6.28,0.03,0.48,19,12.39,17000.48,1
236,35-44,A,100-124K,Homeowner,2 Adults Kids,4,2,708,60,706,60,0.0,0,2828.06,-416.38,0.0,919,47.13,0.0,-6.94,0.0,0.08,24,15.32,2411.68,0
237,65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,712,226,710,226,-90.1,71,11711.02,-1845.22,-12.85,3549,51.82,-0.4,-8.16,0.31,0.31,20,15.7,9775.7,1
238,55-64,U,15-24K,Unknown,2 Adults Kids,3,1,714,234,711,234,-38.85,24,4117.34,-1409.8,-1.75,1471,17.6,-0.17,-6.02,0.1,0.32,19,6.29,2668.69,1
239,55-64,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,715,134,711,134,-33.13,30,3712.14,-1150.44,-5.05,1445,27.7,-0.25,-8.59,0.22,0.18,19,10.78,2528.57,1
240,45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,716,75,708,75,-33.14,33,1290.68,-545.09,-7.0,453,17.21,-0.44,-7.27,0.44,0.1,22,6.04,712.45,1
241,45-54,A,25-34K,Homeowner,2 Adults Kids,5+,3+,718,375,707,375,-340.9,299,19299.86,-3790.49,-74.18,6825,51.47,-0.91,-10.11,0.8,0.51,23,18.2,15168.47,1
242,35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,722,127,705,127,-55.6,37,6437.62,-1195.41,-5.95,2020,50.69,-0.44,-9.41,0.29,0.17,25,15.91,5186.61,1
243,45-54,U,25-34K,Unknown,Single Female,1,None/Unknown,725,122,711,122,-8.0,7,4828.58,-1599.53,-0.5,2431,39.58,-0.07,-13.11,0.06,0.17,19,19.93,3221.05,1
244,45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,731,155,702,155,-17.99,13,3151.31,-620.3,-0.9,909,20.33,-0.12,-4.0,0.08,0.21,28,5.86,2513.02,1
245,55-64,A,75-99K,Homeowner,2 Adults Kids,4,2,732,88,709,88,-16.7,17,3967.82,-1221.83,-4.3,1492,45.09,-0.19,-13.88,0.19,0.12,21,16.95,2729.29,1
246,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,733,70,704,70,-41.32,14,2678.56,-551.71,0.0,1002,38.27,-0.59,-7.88,0.2,0.1,26,14.31,2085.53,1
247,45-54,A,175-199K,Homeowner,Single Female,2,None/Unknown,740,108,711,108,-2.75,4,6644.85,-1256.14,-1.25,2379,61.53,-0.03,-11.63,0.04,0.15,19,22.03,5385.96,1
248,65+,U,50-74K,Homeowner,2 Adults Kids,3,1,741,81,705,81,-1.5,2,3414.6,-673.06,-0.5,1172,42.16,-0.02,-8.31,0.02,0.11,25,14.47,2740.04,1
249,35-44,A,15-24K,Renter,1 Adult Kids,4,2,742,271,703,271,-47.269999999999996,35,3950.96,-584.46,-6.0,2396,14.58,-0.17,-2.16,0.13,0.37,27,8.84,3319.23,1
250,45-54,B,Under 15K,Homeowner,2 Adults Kids,3,1,748,65,702,65,-3.79,2,2709.18,-729.99,0.0,984,41.68,-0.06,-11.23,0.03,0.09,28,15.14,1975.4,1
251,35-44,A,75-99K,Renter,Single Female,2,None/Unknown,752,100,709,100,0.0,0,3792.56,-578.76,0.0,1046,37.93,0.0,-5.79,0.0,0.14,21,10.46,3213.8,0
252,45-54,A,75-99K,Homeowner,2 Adults Kids,4,2,753,47,711,47,-5.99,3,2177.13,-589.31,0.0,703,46.32,-0.13,-12.54,0.06,0.06,19,14.96,1581.83,1
253,35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown,755,246,709,246,-32.989999999999995,19,10617.05,-528.27,-1.35,1132,43.16,-0.13,-2.15,0.08,0.34,21,4.6,10055.79,1
254,25-34,A,125-149K,Homeowner,1 Adult Kids,5+,3+,761,155,711,155,-108.55,60,9036.01,-1686.45,-8.05,2392,58.3,-0.7,-10.88,0.39,0.21,19,15.43,7241.01,1
255,35-44,A,125-149K,Renter,Single Female,2,None/Unknown,762,441,711,441,-1.55,2,8982.79,-1118.3700000000001,-0.45,2756,20.37,-0.0,-2.54,0.0,0.6,19,6.25,7862.87,1
256,35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,764,90,703,90,-26.78,24,3196.78,-868.54,-5.75,1088,35.52,-0.3,-9.65,0.27,0.12,27,12.09,2301.46,1
257,45-54,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,766,102,701,102,-26.09,29,8350.09,-1456.97,-4.4,3031,81.86,-0.26,-14.28,0.28,0.14,29,29.72,6867.03,1
258,35-44,A,50-74K,Renter,Single Female,2,None/Unknown,768,352,710,352,-29.79,23,6681.35,-1446.84,-2.0,2690,18.98,-0.08,-4.11,0.07,0.48,20,7.64,5204.72,1
259,25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,770,35,698,35,-91.3,62,2246.36,-830.4200000000001,-30.2,693,64.18,-2.61,-23.73,1.77,0.05,32,19.8,1324.64,1
260,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,771,371,711,371,-17.19,13,7990.97,-1972.44,-1.2,3977,21.54,-0.05,-5.32,0.04,0.51,19,10.72,6001.34,1
261,65+,U,125-149K,Homeowner,2 Adults Kids,3,1,779,77,710,77,-0.75,1,3918.28,-477.65,-0.25,1087,50.89,-0.01,-6.2,0.01,0.11,20,14.12,3439.88,1
262,45-54,A,100-124K,Homeowner,Single Female,2,None/Unknown,784,111,708,111,-8.5,4,3117.66,-400.89,0.0,840,28.09,-0.08,-3.61,0.04,0.15,22,7.57,2708.27,1
263,65+,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,785,95,707,95,0.0,0,2089.8,-218.67,0.0,529,22.0,0.0,-2.3,0.0,0.13,23,5.57,1871.13,0
264,19-24,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,786,173,706,173,0.0,0,7434.07,-871.21,0.0,2181,42.97,0.0,-5.04,0.0,0.24,24,12.61,6562.86,0
